MSB	PRG	LSB	NME	LVL
121	091	042	DncRmxPd	1
121	092	032	BowedPad	0
121	093	032	MetalPad	0
121	093	033	CosmicPd	1
121	094	032	Halo Pad	0
121	095	032	SweepPad	0
121	095	033	AstrlDrm	1
121	095	034	Medit.Pd	1
121	095	035	DarkElem	1
121	095	036	MellowPd	1
121	095	037	CinemaPd	1
121	096	032	Ice Rain	0
121	097	032	SoundTrk	0
121	098	032	Crystal	0
121	098	033	SynMalet	0
121	098	034	VsBelBoy	1
121	098	035	CrystBel	1
121	098	036	DigiBell	1
121	098	037	MovinBel	1
121	098	038	Bell Pad	1
121	098	039	BelChoir	1
121	099	032	Atmosphr	0
121	100	032	Bright	0
121	101	032	Goblins	0
121	102	032	Echoes	0
121	102	033	EchoBell	0
121	102	034	Echo Pan	0
121	102	035	BndPssed	1
121	102	036	Reso.Pan	1
121	102	037	MoonCycl	1
121	103	032	Sci-Fi	0
121	104	032	Sitar	0
121	104	033	Sitar 2	0
121	104	034	SitTmbra	1
121	104	035	IndStars	1
121	104	036	IndFrets	1
121	104	037	Bouzouki	1
121	104	038	Tamboura	1
121	105	032	Banjo	0
121	106	032	Shamisen	0
121	107	032	Koto	0
121	107	033	TaishoKn	0
121	108	032	Kalimba	0
121	109	032	Bagpipe	0
121	110	032	Fiddle	0
121	111	032	Shanai	0
121	112	032	TnklBell	0
121	113	032	Agogo	0
121	114	032	SteelDrm	0
121	115	032	Woodblok	0
121	115	033	Castanet	0
121	116	032	Taiko	0
121	116	033	Gr.Cassa	0
121	117	032	MelodTom	0
121	117	033	Mel Tom2	0
121	118	032	Syn Drum	0
121	118	033	AnalgTom	0
121	118	034	ElecPerc	0
121	119	032	RevCymbl	0
121	120	032	FretNoiz	0
121	120	033	CutNoise	0
121	120	034	Str Slap	0
121	120	035	VxWahChk	1
121	121	032	BrthNoiz	0
121	121	033	Fl.KClik	0
121	122	032	Seashore	0
121	122	033	Shower	0
121	122	034	Thunder	0
