voiceId	scSqr	scScale
gs1:BotlBlow	1	0.5
gs2:BotlBlow		
gs1:Shakhchi	1	0.3125
gs3:Di Zi 2		
gs1:Whistle	1	0.71825
gs3:Whistle2		
gs1:Ocarina	3	1
gs1:SquareLd	1	0.25
gs3:SquareLd		
gs1:SquareWv	1	0.25
gs3:MGSquare		
gs2:HolwMini		
gs2:MellowFM		
gs2:CC Solo		
gs2:Shmoog		
gs2:LMSquare		
gs4:JP8k TWM		
gs1:SineWave	1	1
gs3:2600Sine		
gs3:SineLead		
gs3:KG Lead		
gs4:TwinSine		
gs3:P5Square		
gs3:OBSquare		
gs3:JP-8 Sqr		
gs4:DsSquare		
gs4:303SqrDs		
gs4:303SqDs2		
gs4:303MixSq		
gs4:2Sqr&Saw		
gs3:Pulse Ld		
gs3:JP8Pulse		
gs3:JP8Puls2		
gs3:MGRezPls		
gs4:JP8Puls3		
gs4:260 Ring		
gs4:303DstLd		
gs4:JP8kDsLd		
gs4:HipHopSi		
gs4:HipHopSq		
gs4:HipHopPu		
gs4:FluxPuls		
gs1:Saw Lead	1	0.375
gs3:Saw Lead		
gs1:Saw Wave	1	0.3125
gs3:OB2 Saw		
gs2:PulseSaw		
gs2:FelineGR		
gs2:Big Lead		
gs2:VeloLead		
gs2:GR-300		
gs2:LA Saw		
gs1:Dr. Lead	1	0.3125
gs3:ThickSaw		
gs4:JP8k Saw		
gs3:D-50 Fat		
gs4:OBDblSaw		
gs4:JPDblSaw		
gs4:ThickSw2		
gs4:SuperSaw		
gs2:WaspySyn		
gs3:PM Lead		
gs3:CS SawLd		
gs3:MG Saw		
gs3:MG Saw 2		
gs3:OB Saw		
gs3:OB Saw 2		
gs3:D-50 Saw		
gs3:SH101Saw		
gs3:CS Saw		
gs3:MG SawLd		
gs3:OB SawLd		
gs3:P5 SawLd		
gs3:MGUnison		
gs3:OctSawLd		
gs4:NtrlLead		
gs3:Seq.Saw.		
gs3:Seq.Saw2		
gs3:Reso Saw		
gs3:CheezSaw		
gs3:ChzSaw 2		
gs3:Rthm Saw		
gs4:SeqAna.3		
gs4:TeknoSaw		
gs1:CaliopLd	1	0.875
gs2:VentLead		
gs2:Pure Pan		
gs1:Chiff Ld	1	0.625
gs3:TB Lead		
gs4:HybridLd		
gs4:UnisnSqr		
gs4:FtSoloLd		
gs4:Force.Ld		
gs4:OctUnisn		
gs4:UnisnSaw		
gs3:Mad Lead		
gs4:Crowd.Ld		
gs4:DblSqrLd		
gs1:CharanLd	1	0.625
gs4:WireLead		
gs4:FBCharan		
gs4:FatGR Ld		
gs4:Windy GR		
gs4:MellowGR		
gs4:GR&Pulse		
gs2:DistLead		
gs3:Acid Gtr		
gs3:AcidGtr2		
gs4:DanceDGt		
gs4:DanceDG2		
gs3:P5Snc.Ld		
gs3:FatSncLd		
gs3:RockLead		
gs3:5thDcySn		
gs3:DirtySnc		
gs4:DualSync		
gs4:LA Brass		
gs3:JUNOSbOs		
gs4:2600SbOs		
gs4:JP8kFdOs		
gs1:Voice Ld	1	0.8125
gs4:VoiceLd2		
gs3:Vox Lead		
gs3:LFO Vox		
gs4:VoxLead2		
gs1:Fifth Ld	1	0.75
gs2:Big Five		
gs3:5th Lead		
gs3:5thAnClv		
gs4:5thPulse		
gs4:JP5thSaw		
gs4:JP8k 5FB		
gs3:4th Lead		
gs1:Bass&Ld	1	0.625
gs2:Big&Raw		
gs2:Fat&Prky		
gs3:JUNORave		
gs3:JP8BaLd1		
gs3:JP8BaLd2		
gs3:SH-5BaLd		
gs4:Delay.Ld		
gs1:Fantasia	1	0.5625
gs2:Fantasy2		
gs3:NewAgePd		
gs3:BelHeavn		
gs4:Fantasy3		
gs4:Fantasy4		
gs4:After D!		
gs4:260HrmPd		
gs1:Warm Pad	1	0.375
gs2:ThickPad		
gs3:ThickMtx		
gs2:Horn Pad		
gs2:RotarStr		
gs2:Soft Pad		
gs3:OBSoftPd	0	0.5625
gs4:Sine Pad		
gs4:OBSftPd2		
gs3:OctavePd		
gs3:StackPad		
gs4:HumanPad		
gs4:SyncBrPd		
gs4:OctPWMPd		
gs4:JPSoftPd		
gs1:PolySyPd	1	0.375
gs2:80sPlySy		
gs3:PlySyPd2		
gs3:PolyKing		
gs4:SuprPoly		
gs3:PwrStack		
gs3:OctStack		
gs3:RezStack		
gs3:TekStack		
gs4:PulseStk		
gs4:TwnOctRv		
gs4:Oct.Rave		
gs4:HappySyn		
gs4:FwdSweep		
gs4:RevSweep		
gs4:MinorRav		
gs1:ChoirPad	1	0.6875
gs2:Heaven		
gs3:SCHeaven		
gs4:Itopia		
gs4:WaterSpa		
gs4:Cold Spa		
gs4:NzPeaker		
gs4:BambooHt		
gs3:CosmicVx		
gs3:Auh Vox		
gs3:Auh Auh		
gs3:Vocorder		
gs4:Holy Vox		
gs1:BowedPad	1	0.4375
gs3:SftBelPd		
gs3:JP8SqrPd		
gs3:7thBelPd		
gs4:SteelGls		
gs4:BotlStak		
gs1:MetalPad	1	0.59375
gs2:Tine Pad		
gs2:PannerPd		
gs4:SteelPad		
gs4:Spe.Rave		
gs4:MetalPd2		
gs1:Halo Pad	1	0.6875
gs3:VoicePad		
gs3:VoxSweep		
gs3:HorrorPd		
gs4:SynVoxPd		
gs4:SynVxPd2		
gs4:BrthRise		
gs4:TearsVox		
gs1:SweepPad	1	0.40625
gs2:PolarPad		
gs4:Ambi.BPF		
gs4:Sync Pad		
gs4:Warriors		
gs2:Converge		
gs2:Shwimmer		
gs2:Celstial		
gs3:BagSweep		
gs4:Swp.Pipe		
gs4:SwpStack		
gs4:Deep Swp		
gs4:StrayPad		
gs1:Ice Rain	1	0.6875
gs1:HrmoRain		
gs1:AfrcWind		
gs3:AnklngPd		
gs3:RattlePd		
gs1:ClaviPad		
gs1:SoundTrk	1	0.5
gs1:Ancestrl		
gs1:Prologue		
gs3:Prolog 2		
gs3:Hols Str		
gs1:Rave		
gs1:Crystal	1	0.5
gs1:SynMalet	1	0.8125
gs1:SftCryst		
gs1:RndGlock		
gs1:LoudGlok		
gs1:GlockChi		
gs1:ClearBel		
gs1:XmasBell		
gs1:VibraBel		
gs1:DigiBell		
gs3:MusicBel		
gs3:AnalgBel		
gs1:ChorlBel		
gs1:AirBells		
gs1:BellHarp		
gs1:Gamelmba		
gs3:JUNO Bel		
gs1:Atmosphr	1	0.75
gs1:WarmAtms		
gs1:NylnHarp		
gs1:Harp Vox		
gs1:Holw.Rlz		
gs1:NlnRhode		
gs1:Ambient		
gs3:Invisibl		
gs3:PulseKey		
gs3:NoisePno		
gs1:Bright	1	0.9375
gs3:ShneStar		
gs3:OB Stab		
gs3:Org Bell		
gs1:Goblins	1	0.25
gs1:GobSynth		
gs1:50sSciFi		
gs3:Abduct		
gs3:Auhbient		
gs3:LFO Pad		
gs3:RandmStr		
gs3:RandomPd		
gs3:Low Bird		
gs3:FallDown		
gs3:LFO Rave		
gs3:LFO Horr		
gs3:LFO Tech		
gs3:Altrnate		
gs3:UFO FX		
gs3:GarglMan		
gs3:Sweep FX		
gs1:Echoes	1	0.6875
gs1:EchoBell	1	0.4375
gs1:Echo Pan	1	0.375
gs1:EchoPan2		
gs1:Big Pan		
gs1:Reso Pan		
gs1:WaterPno		
gs3:Pan Seq.		
gs3:Aqua		
gs1:StarThme	0	0.53125
gs1:StarThm2		
gs3:DreamPad		
gs3:SilkyPad		
gs3:NewCntry		
gs3:7thAtmos		
